id,question_text,option_a,option_b,option_c,option_d,correct_option,topic,difficulty,explanation,image_reference
27,Which artery predominantly supplies the lateral medulla?,Basilar artery,Middle cerebral artery,Posterior inferior cerebellar artery (PICA),Anterior cerebral artery,c,Cerebrovascular,2,"The posterior inferior cerebellar artery (PICA) supplies much of the lateral medulla and inferior cerebellum. Infarction of PICA can cause Wallenberg (lateral medullary) syndrome with vertigo, dysphagia, and crossed sensory findings.",
28,The nucleus gracilis carries inputs from:,Upper limb vibration sense,Lower limb vibration sense,Facial sensation,Fine motor control,b,Tracts,2,The nucleus gracilis in the medulla receives dorsal column inputs conveying vibration and proprioception from the lower trunk and lower limbs. Upper limb vibration and proprioception ascend to the nearby nucleus cuneatus instead.,
29,Damage to cerebellar hemisphere causes:,Ipsilateral motor incoordination,Contralateral weakness,Bitemporal hemianopia,Aphasia,a,Cerebellum,2,"Each cerebellar hemisphere coordinates movements of the ipsilateral limbs via double decussation of its output pathways. Lesions cause ipsilateral limb ataxia, dysmetria, and intention tremor rather than pure weakness.",
30,Which region contains the primary auditory cortex?,Calcarine sulcus,Precentral gyrus,Heschl's gyrus,Hippocampus,c,Temporal lobe,2,The primary auditory cortex is located in Heschl’s gyrus on the superior surface of the temporal lobe within the lateral sulcus. It receives input from the medial geniculate nucleus of the thalamus and processes basic auditory information.,
31,Which area receives visual input first?,V4,V1,Brodmann area 6,Area 44,b,Visual cortex,2,"The primary visual cortex, also known as V1 or Brodmann area 17, in the occipital lobe is the first cortical recipient of visual information from the lateral geniculate nucleus. Higher visual areas such as V4 process more complex features like color and form.",
32,A lesion in the lateral medulla causes which syndrome?,Brown-Sequard syndrome,Wallenberg syndrome,Horner syndrome,Locked-in syndrome,b,Brainstem,3,"Lateral medullary (Wallenberg) syndrome, often due to PICA infarction, presents with vertigo, nystagmus, ipsilateral facial pain loss, contralateral body pain loss, dysphagia, and hoarseness. Brown-Sequard syndrome refers to hemisection of the spinal cord.",
33,Hemiballismus is due to a lesion of the:,Caudate nucleus,Subthalamic nucleus,Putamen,Hippocampus,b,Basal ganglia,3,"Hemiballismus is characterized by violent flinging movements of one side of the body and classically results from a lesion of the contralateral subthalamic nucleus. This disrupts the indirect pathway, reducing inhibition of thalamocortical motor activity.",
34,The dentate nucleus belongs to the:,Basal ganglia,Limbic system,Cerebellum,Thalamus,c,Cerebellum,3,The dentate nucleus is the largest and most lateral of the deep cerebellar nuclei and is particularly involved in planning and initiation of voluntary movements. It receives input from the lateral cerebellar hemispheres and projects to motor cortical areas via the thalamus.,
35,The tentorium cerebelli separates:,Cortex from pons,Occipital lobe from cerebellum,Brainstem from thalamus,Cerebellum from spinal cord,b,Meninges,3,"The tentorium cerebelli is a dural fold that separates the occipital lobes above from the cerebellum below. Mass lesions can cause transtentorial herniation, compressing the midbrain and cranial nerve III.",
36,The oculomotor nerve nucleus is located in the:,Medulla,Pons,Midbrain,Spinal cord,c,Brainstem,3,"The oculomotor nucleus lies in the midbrain at the level of the superior colliculus, near the midline. It innervates most extraocular muscles and the levator palpebrae; lesions cause ptosis, diplopia, and impaired eye movements.",
37,Which fiber system connects the cerebellum to the midbrain?,Superior cerebellar peduncle,Middle cerebellar peduncle,Inferior cerebellar peduncle,Corticospinal bundle,a,Cerebellum,3,The superior cerebellar peduncle carries most of the efferent output from the cerebellum to the red nucleus and thalamus in the midbrain. The middle peduncle mainly brings pontocerebellar fibers into the cerebellum.,
38,The lateral geniculate nucleus receives input from:,Spinal cord,Hippocampus,Optic tract,Motor cortex,c,Visual pathways,3,The lateral geniculate nucleus of the thalamus receives visual input from the optic tract and relays it to the primary visual cortex in the occipital lobe. The medial geniculate nucleus instead relays auditory information.,
39,Damage to the right parietal lobe may cause:,Broca’s aphasia,Left-sided neglect,Bilateral blindness,Ataxia,b,Cortex,3,"Lesions of the non-dominant (often right) parietal lobe commonly cause contralateral hemispatial neglect, in which the patient ignores stimuli on the left side of space. Broca’s aphasia is associated with dominant frontal lesions instead.",
40,The anterior horn of the spinal cord contains:,Sensory neurons,Motor neurons,Interneurons,Autonomic ganglia,b,Spinal cord,3,"The anterior (ventral) horn of the spinal cord contains the cell bodies of lower motor neurons that project to skeletal muscle. Sensory neurons synapse in the dorsal horn, while autonomic preganglionic neurons are found in the intermediolateral cell column.",
41,The perforant pathway connects the entorhinal cortex to the:,Globus pallidus,Caudate,Nucleus accumbens,Hippocampus,d,Limbic system,3,"The perforant pathway is a major input from the entorhinal cortex to the hippocampus, crucial for memory formation. Degeneration of this pathway is seen early in Alzheimer’s disease and contributes to memory impairment.",
42,Climbing fibers synapse directly on:,Purkinje cells,Granule cells,Thalamic relay cells,Betz cells,a,Cerebellum,3,"Climbing fibers originate in the inferior olive and form powerful excitatory synapses directly on Purkinje cells, strongly influencing their firing. Mossy fibers instead synapse on granule cells, which then activate Purkinje cells via parallel fibers.",
43,Which pathway coordinates reflex head and eye orientation to visual and auditory stimuli?,Vestibulospinal tract,Rubrospinal tract,Tectospinal tract,Dorsal column pathway,c,Brainstem,3,The tectospinal tract originates from the superior colliculus and mediates reflexive orientation movements of the head and neck toward visual and auditory stimuli. Vestibulospinal tracts instead help maintain posture and balance.,
44,A lesion of the fasciculus cuneatus results in loss of:,Lower limb proprioception,Upper limb vibration sense,Pain sensation,Hearing,b,Tracts,3,The fasciculus cuneatus carries vibration and proprioceptive information from the upper trunk and upper limbs to the nucleus cuneatus in the medulla. Lesions here produce ipsilateral loss of these modalities above about T6.,
45,The uncus houses the:,Auditory cortex,Primary motor cortex,Olfactory cortex,Somatosensory cortex,c,Temporal lobe,3,"The uncus, a medial projection of the temporal lobe, contains part of the primary olfactory cortex. Uncal herniation can compress the ipsilateral third nerve and midbrain, leading to a dilated pupil and hemiparesis.",
46,The posterior limb of the internal capsule primarily carries:,Visual signals,Motor fibers,Cerebellar signals,Pain fibers,b,White matter,3,The posterior limb of the internal capsule contains corticospinal motor fibers and key sensory pathways between thalamus and cortex. Small infarcts here can cause dense contralateral hemiparesis and sensory loss.,
47,The mammillothalamic tract connects:,Thalamus and cerebellum,Hypothalamus and pituitary,Mammillary bodies and thalamus,Cortex and pons,c,Limbic system,3,The mammillothalamic tract links the mammillary bodies to the anterior nucleus of the thalamus and is part of the Papez circuit involved in memory processing. Damage can contribute to memory deficits seen in Wernicke–Korsakoff syndrome.,
48,Which nucleus is the major relay for somatosensory input?,Medial geniculate nucleus,Ventral posterior nucleus,Dorsomedial nucleus,Lateral dorsal nucleus,b,Thalamus,3,The ventral posterior nucleus of the thalamus (VPL/VPM) is the principal relay for somatosensory information from the body and face to the primary somatosensory cortex. The medial geniculate nucleus relays auditory information instead.,
49,Which condition occurs from pituitary tumor compression of the optic chiasm?,Right hemianopia,Bitemporal hemianopia,Left homonymous hemianopia,Quadrantanopia,b,Visual pathways,3,"A midline pituitary mass compressing the optic chiasm affects decussating nasal retinal fibers, leading to loss of temporal visual fields in both eyes (bitemporal hemianopia). Homonymous hemianopia typically reflects retrochiasmal lesions.",
50,The olive in the medulla is involved in:,Motor learning,Language processing,Vision,Somatic reflexes,a,Brainstem,3,The inferior olive in the medulla projects climbing fibers to the cerebellum and plays an important role in motor learning and timing. Its activity helps adjust motor output based on sensory feedback and errors.,
51,Which artery mainly supplies the medial surface of the frontal and parietal lobes?,Middle cerebral artery,Anterior cerebral artery,Posterior cerebral artery,Basilar artery,b,Cerebral blood supply,2,"The anterior cerebral artery supplies the medial surfaces of the frontal and parietal lobes, including the leg area of the motor and sensory cortex. Infarction here often produces contralateral leg weakness more than arm or face involvement.",
52,The posterior cerebral artery primarily supplies which cortical region?,Primary motor cortex,Primary somatosensory cortex,Primary visual cortex,Primary auditory cortex,c,Cerebral blood supply,2,"The posterior cerebral artery supplies the occipital lobe, including the primary visual cortex. Infarcts in this territory commonly present with contralateral homonymous hemianopia with macular sparing.",
53,A lesion of the right optic tract will cause which visual field defect?,Right homonymous hemianopia,Left homonymous hemianopia,Bitemporal hemianopia,Right monocular blindness,b,Visual pathways,2,"The right optic tract carries visual information from the left visual fields of both eyes, so a lesion produces left homonymous hemianopia. Bitemporal hemianopia is seen with chiasmal compression, typically from pituitary tumors.",
54,Which structure is most closely associated with regulation of circadian rhythm?,Suprachiasmatic nucleus,Red nucleus,Substantia nigra,Lateral geniculate nucleus,a,Hypothalamus,2,The suprachiasmatic nucleus of the hypothalamus receives direct retinal input and acts as the master circadian pacemaker of the brain. It synchronizes physiological rhythms like sleep wake cycles with the light dark cycle.,
55,The basal ganglia structure that primarily outputs inhibitory signals to the thalamus is the:,Caudate nucleus,Putamen,Globus pallidus internus,Subthalamic nucleus,c,Basal ganglia,3,The globus pallidus internus is a major output nucleus of the basal ganglia that tonically inhibits the thalamus. Modulation of this inhibitory output via direct and indirect pathways allows fine control of movement initiation.,
56,Which tract is most important for voluntary fine movements of the distal limbs?,Anterior corticospinal tract,Lateral corticospinal tract,Reticulospinal tract,Vestibulospinal tract,b,Spinal tracts,2,"The lateral corticospinal tract carries motor commands from the motor cortex to spinal motor neurons controlling fine, skilled movements of distal limb muscles. It crosses in the pyramidal decussation of the caudal medulla.",
57,Which pathway carries vibration and proprioception from the lower limb to the brain?,Spinothalamic tract,Fasciculus gracilis,Fasciculus cuneatus,Spinocerebellar tract,b,Spinal tracts,1,"The fasciculus gracilis is the medial component of the dorsal column that carries fine touch, vibration, and conscious proprioception from the lower trunk and lower limbs. Fibers ascend ipsilaterally to synapse in the nucleus gracilis of the medulla.",
58,A lesion of the left facial nerve after it leaves the brainstem will produce which finding?,Weakness of lower right face only,Weakness of upper left face only,Weakness of entire left side of face,Weakness of entire right side of face,c,Cranial nerves,2,"A lower motor neuron lesion of the facial nerve after it exits the brainstem causes flaccid paralysis of the entire ipsilateral facial muscles, including the forehead. In contrast, an upper motor neuron lesion usually spares the forehead due to bilateral cortical innervation.",
59,Which cranial nerve carries taste sensation from the anterior two thirds of the tongue?,Glossopharyngeal nerve,Vagus nerve,Trigeminal nerve,Facial nerve,d,Cranial nerves,1,"Taste from the anterior two thirds of the tongue is carried by the chorda tympani branch of the facial nerve, which joins the lingual nerve. The glossopharyngeal nerve carries taste from the posterior one third of the tongue.",
60,The nucleus ambiguus is primarily involved in which function?,Eye movement control,Swallowing and phonation,Pain modulation,Visual reflexes,b,Brainstem,3,"The nucleus ambiguus in the medulla contains motor neurons that innervate muscles of the pharynx and larynx via cranial nerves IX and X. Lesions here cause dysphagia, hoarseness, and diminished gag reflex.",
61,A patient with right foot drop and left-sided loss of pain and temperature below the T10 level most likely has which syndrome?,Central cord syndrome,Brown-Sequard syndrome on the right at T10,Anterior cord syndrome,Cauda equina syndrome,b,Spinal cord,3,Brown-Sequard syndrome results from hemisection of the spinal cord and produces ipsilateral motor weakness and loss of dorsal column modalities with contralateral loss of pain and temperature a few levels below the lesion. The described crossed pattern localizes to a right hemicord lesion at T10.,
62,Which structure is most critically involved in fear conditioning and emotional salience of stimuli?,Hippocampus,Amygdala,Caudate nucleus,Subthalamic nucleus,b,Limbic system,2,"The amygdala assigns emotional significance to sensory stimuli, particularly threats, and is key for fear conditioning. Damage can blunt fear responses, while hyperactivity is associated with anxiety and phobic disorders.",
63,The main output of the hippocampus travels through which structure?,Fornix,Mammillothalamic tract,Internal capsule,Uncinate fasciculus,a,Limbic system,2,The fornix is a major efferent pathway carrying signals from the hippocampus to the mammillary bodies and septal nuclei. It is an important link in the Papez circuit involved in memory processing.,
64,Which region of the spinal cord contains the intermediolateral cell column?,Cervical enlargement C3 to C5,Thoracic and upper lumbar segments T1 to L2,Lumbosacral enlargement L4 to S2,Entire spinal cord,b,Spinal cord,2,"The intermediolateral cell column from T1 to L2 contains sympathetic preganglionic neurons that project to sympathetic ganglia. Lesions here can disrupt sympathetic outflow, contributing to Horner syndrome when upper segments are involved.",
65,Horner syndrome typically includes all of the following EXCEPT:,Ptosis,Miosis,Anhidrosis,Mydriasis,d,Autonomic pathways,1,"Horner syndrome results from disruption of sympathetic pathways to the eye and face and is characterized by ptosis, miosis, and anhidrosis. Mydriasis is the opposite of the pupillary constriction seen in this condition.",
66,Which cerebellar lesion pattern is most likely to cause truncal ataxia and a wide-based gait?,Lesion of the flocculonodular lobe,Lesion of the vermis,Lesion of the lateral cerebellar hemispheres,Lesion of the dentate nucleus only,b,Cerebellum,2,"The cerebellar vermis and fastigial nucleus are involved in control of axial muscles and posture. Lesions typically cause truncal ataxia with a broad based, unsteady gait, while lateral hemisphere lesions more often cause limb ataxia.",
67,A lesion in the flocculonodular lobe of the cerebellum primarily affects:,Fine hand movements,Eye movements and balance,Language fluency,Autonomic function,b,Cerebellum,2,The flocculonodular lobe and vestibulocerebellum are heavily connected with vestibular nuclei and are important for maintaining balance and coordinating eye movements. Lesions can cause nystagmus and vertigo.,
68,Which thalamic nucleus relays visual information to the cortex?,Medial geniculate nucleus,Lateral geniculate nucleus,Ventral posterior nucleus,Pulvinar,b,Thalamus,1,"The lateral geniculate nucleus receives input from the optic tract and relays it to the primary visual cortex in the occipital lobe. In contrast, the medial geniculate nucleus relays auditory information to the auditory cortex.",
69,The medial geniculate nucleus is primarily associated with which sensation?,Vision,Hearing,Somatosensation,Olfaction,b,Thalamus,1,The medial geniculate nucleus of the thalamus is part of the auditory pathway and relays information from the inferior colliculus to the primary auditory cortex. The lateral geniculate nucleus serves the visual system.,
70,A lesion of the frontal eye field on the right side initially causes the eyes to deviate:,To the right,To the left,Downward,Upward,a,Cortex,3,"Acute lesions of the frontal eye field cause transient deviation of the eyes toward the side of the lesion because the tonic drive to look contralaterally is lost. Over time, other centers may compensate and restore more normal eye position.",
71,Which cortical area is primarily involved in understanding spoken language?,Broca area,Wernicke area,Primary auditory cortex,Supplementary motor area,b,Cortex,1,Wernicke area in the dominant posterior superior temporal gyrus is crucial for comprehension of spoken and written language. Lesions cause fluent aphasia with impaired understanding and production of meaningful content.,
72,"A patient presents with ataxia, intention tremor, and dysdiadochokinesia of the right arm. The lesion is most likely located in the:",Right cerebellar hemisphere,Left cerebellar hemisphere,Right frontal lobe,Left basal ganglia,a,Cerebellum,2,"Each cerebellar hemisphere coordinates movements of the ipsilateral limbs. Limb ataxia, intention tremor, and impaired rapid alternating movements of the right arm localize to a lesion in the right cerebellar hemisphere.",
73,Which cranial nerve nucleus is located in the pons and mediates lateral eye movement?,Oculomotor nucleus,Trochlear nucleus,Abducens nucleus,Vestibular nucleus,c,Brainstem,1,"The abducens nucleus in the dorsal pons innervates the lateral rectus muscle via cranial nerve VI, producing eye abduction. It is also linked to the contralateral oculomotor nucleus through the medial longitudinal fasciculus for horizontal gaze.",
74,Lesion of the medial longitudinal fasciculus (MLF) commonly results in which clinical syndrome?,Horner syndrome,Internuclear ophthalmoplegia,Locked in syndrome,Parinaud syndrome,b,Brainstem,3,"Lesions of the MLF disrupt communication between abducens and oculomotor nuclei, causing internuclear ophthalmoplegia with impaired adduction of the eye ipsilateral to the lesion and nystagmus of the abducting contralateral eye.",
75,Which cranial nerve carries parasympathetic fibers to the parotid gland?,Facial nerve,Glossopharyngeal nerve,Vagus nerve,Trigeminal nerve,b,Cranial nerves,2,"Parasympathetic fibers from the glossopharyngeal nerve synapse in the otic ganglion and then reach the parotid gland via the auriculotemporal nerve. The facial nerve supplies parasympathetics to the submandibular, sublingual, and lacrimal glands.",
76,A lesion of the right primary motor cortex involving the hand area will cause:,Weakness of the left hand,Weakness of the right hand,Weakness of both hands equally,No motor deficit,a,Cortex,1,The primary motor cortex controls contralateral voluntary movement. A lesion in the right hand area of the motor homunculus causes weakness or loss of fine motor control in the left hand.,
77,Which spinal cord lesion typically causes loss of pain and temperature in a cape like distribution over the shoulders and arms?,Brown-Sequard syndrome,Central cord lesion such as syringomyelia,Posterior cord syndrome,Anterior spinal artery infarct,b,Spinal cord,2,"Central cord lesions, as in syringomyelia, often damage crossing spinothalamic fibers near the central canal at cervical levels. This produces bilateral loss of pain and temperature in a cape like pattern while sparing dorsal column modalities.",
78,The primary somatosensory cortex is located in which gyrus?,Precentral gyrus,Postcentral gyrus,Angular gyrus,Cingulate gyrus,b,Cortex,1,"The postcentral gyrus of the parietal lobe contains the primary somatosensory cortex, which receives tactile, proprioceptive, and nociceptive input from the body via thalamic relays. It is organized somatotopically as a sensory homunculus.",
79,Which structure is most closely associated with consolidation of declarative long term memories?,Amygdala,Prefrontal cortex,Hippocampus,Cerebellum,c,Limbic system,2,"The hippocampus plays a central role in converting short term experiences into long term declarative memories. Bilateral hippocampal damage, as in anoxic injury, can lead to severe anterograde amnesia.",
80,A patient with left facial weakness sparing the forehead and left arm weakness most likely has a lesion in the:,Left facial nerve at the stylomastoid foramen,Right internal capsule or motor cortex,Left pons involving the facial nucleus,Right medulla involving corticospinal tract,b,Cortex,3,"Forehead sparing facial weakness with contralateral arm weakness suggests an upper motor neuron lesion affecting corticobulbar and corticospinal fibers, such as a right internal capsule or right motor cortex lesion. Peripheral facial nerve lesions typically involve the entire ipsilateral face.",
81,The cerebellar peduncle that carries mainly pontocerebellar afferent fibers is the:,Superior cerebellar peduncle,Middle cerebellar peduncle,Inferior cerebellar peduncle,Medial cerebellar peduncle,b,Cerebellum,2,The middle cerebellar peduncle is composed largely of pontocerebellar fibers that convey information from the contralateral cerebral cortex to the cerebellum. The superior peduncle mainly carries cerebellar efferent fibers.,
82,Which midbrain structure is involved in vertical gaze control and can be affected in Parinaud syndrome?,Red nucleus,Superior colliculus and pretectal area,Substantia nigra,Inferior olive,b,Brainstem,3,"Lesions of the dorsal midbrain affecting the superior colliculus and pretectal area can produce Parinaud syndrome with vertical gaze palsy, pupillary light near dissociation, and lid retraction. Pineal region tumors are a classic cause.",
83,Which cerebellar deep nucleus is most associated with limb motor planning and coordination?,Fastigial nucleus,Interposed nuclei,Dentate nucleus,Vestibular nuclei,c,Cerebellum,2,"The dentate nucleus is the largest and most lateral deep cerebellar nucleus and is heavily involved in planning, initiation, and coordination of voluntary limb movements through its connections with motor cortical areas.",
84,A lesion of the anterior spinal artery at the thoracic level typically spares which function?,Pain and temperature sensation,Voluntary motor control,Dorsal column modalities such as vibration,Bladder control,c,Spinal cord,3,"Anterior spinal artery infarcts damage the anterior two thirds of the spinal cord, affecting corticospinal and spinothalamic tracts but usually sparing the dorsal columns which are supplied by posterior spinal arteries. Thus vibration and proprioception can be preserved.",
85,Which of the following best describes the role of the basal ganglia in movement?,Directly innervates lower motor neurons to produce contraction,Refines and permits appropriate voluntary movements via thalamocortical loops,Controls reflexive postural adjustments via vestibulospinal tracts,Generates primary motor commands for all skeletal muscles,b,Basal ganglia,2,The basal ganglia do not directly innervate lower motor neurons but instead modulate thalamocortical motor circuits. They facilitate desired movements and suppress competing unwanted movements through complex direct and indirect pathways.,
86,A lesion restricted to the dorsal columns bilaterally at the cervical level will primarily cause:,Spastic quadriparesis with hyperreflexia,Loss of vibration and proprioception in all four limbs,Loss of pain and temperature in a cape like distribution,Flaccid paralysis of the upper limbs,b,Spinal tracts,2,Bilateral dorsal column damage at the cervical level disrupts vibration and conscious proprioception from both upper and lower limbs while sparing pain and temperature pathways carried in the spinothalamic tracts.,
87,Which hypothalamic region is primarily responsible for thermoregulation and responds to increased body temperature?,Anterior hypothalamus,Posterior hypothalamus,Lateral hypothalamus,Supraoptic nucleus,a,Hypothalamus,2,"The anterior hypothalamus promotes heat loss responses such as vasodilation and sweating when body temperature rises, functioning as a heat dissipation center. The posterior hypothalamus is more involved in heat conservation mechanisms.",
88,The lateral spinothalamic tract carries which modalities?,Fine touch and vibration,Pain and temperature,Motor commands to axial muscles,Unconscious proprioception,b,Spinal tracts,1,The lateral spinothalamic tract is part of the anterolateral system and conveys pain and temperature sensations from the body to the thalamus. Fine touch and vibration are instead carried in the dorsal columns.,
89,A patient with bilateral loss of pain and temperature below the lesion but preserved dorsal column function most likely has:,Anterior spinal artery infarct,Posterior spinal artery infarct,Complete transverse cord lesion,Central cord syndrome,a,Spinal cord,3,"Anterior spinal artery infarction affects the anterior two thirds of the cord, including spinothalamic tracts and corticospinal tracts, while sparing the dorsal columns. This produces bilateral loss of pain and temperature with preserved vibration and position sense.",
90,Which cranial nerve provides the afferent limb of the corneal reflex?,Facial nerve,Trigeminal nerve ophthalmic division,Oculomotor nerve,Abducens nerve,b,Cranial nerves,1,The ophthalmic division of the trigeminal nerve carries sensory input from the cornea as the afferent limb of the corneal reflex. The facial nerve mediates the efferent limb by causing contraction of the orbicularis oculi muscle.,
